,common name,datasheet,false negative,true positive,false positive,birdnet,union
0,tickells blue flycatcher,36,24,12,4,16,40
1,indian blue robin,19,19,0,0,0,19
2,blyths reed warbler,0,0,0,2,2,2
3,eurasian moorhen,0,0,0,1,1,1
4,coppersmith barbet,16,16,0,0,0,16
5,gray wagtail,0,0,0,3,3,3
6,ornate sunbird,1,1,0,0,0,1
7,black headed cuckooshrike,0,0,0,1,1,1
8,common hawk cuckoo,0,0,0,1,1,1
9,red whiskered bulbul,130,103,27,2,29,132
10,blythes reed warbler,11,11,0,0,0,11
11,red naped ibis,0,0,0,1,1,1
12,rufous treepie,0,0,0,3,3,3
13,brahminy kite,1,1,0,0,0,1
14,ashy prinia,53,26,27,9,36,62
15,indian gray hornbill,0,0,0,2,2,2
16,western crowned warbler,5,5,0,0,0,5
17,greater coucal,52,50,2,0,2,52
18,white breasted waterhen,1,1,0,0,0,1
19,black kite,96,68,28,4,32,100
20,pale billed flowerpecker,60,53,7,5,12,65
21,white browed bulbul,38,33,5,0,5,38
22,shikra,32,25,7,2,9,34
23,indian peafowl,10,10,0,0,0,10
24,rose ringed parakeet,147,103,44,10,54,157
25,great cormorant,1,1,0,0,0,1
26,small minivet,5,1,4,6,10,11
27,brown cheeked fulvetta,0,0,0,1,1,1
28,indian roller,0,0,0,1,1,1
29,cinerous tit,49,49,0,0,0,49
30,purple rumped sunbird,82,45,37,3,40,85
31,ashy drongo,7,7,0,0,0,7
32,black naped oriole,3,3,0,0,0,3
33,gray junglefowl,0,0,0,3,3,3
34,asian brown flycatcher,1,1,0,0,0,1
35,rofous treepie,15,15,0,0,0,15
36,white cheeked barbet,163,145,18,0,18,163
37,indian white eye,57,53,4,4,8,61
38,cinereous tit,0,0,0,10,10,10
39,lottens sunbird,21,21,0,0,0,21
40,common myna,103,91,12,0,12,103
41,spotted dove,21,21,0,0,0,21
42,oriental magpie robin,137,116,21,5,26,142
43,oriental white eyes,4,4,0,0,0,4
44,india pitta,1,1,0,0,0,1
45,flame throated bulbul,0,0,0,7,7,7
46,indian paradise flycatcher,7,7,0,0,0,7
47,spot breasted fantail,2,2,0,1,1,3
48,yellow throated bulbul,0,0,0,2,2,2
49,black drongo,4,4,0,0,0,4
50,plain prinia,1,1,0,0,0,1
51,common crow,1,1,0,0,0,1
52,scaly breasted munia,10,10,0,0,0,10
53,barn owl,0,0,0,11,11,11
54,golden oriole,2,2,0,0,0,2
55,crimson backed sunbird,0,0,0,2,2,2
56,purple sunbird,10,10,0,0,0,10
57,terek sandpiper,0,0,0,1,1,1
58,greenish warbler,24,18,6,1,7,25
59,orange minivet,0,0,0,3,3,3
60,common tailorbird,126,85,41,8,49,134
61,grey wagtail,2,2,0,0,0,2
62,jungle myna,59,59,0,2,2,61
63,yellow billed babbler,6,6,0,11,11,17
64,green warbler,13,7,6,5,11,18
65,booted warbler,9,9,0,0,0,9
66,indian pond heron,5,5,0,0,0,5
67,common greenshank,0,0,0,2,2,2
68,booted eagle,2,2,0,0,0,2
69,brown shrike,1,1,0,0,0,1
70,large billed crow,194,192,2,0,2,194
71,asian koel,90,83,7,3,10,93
72,white throated kingfisher,13,11,2,3,5,16
73,white breasted kingfisher,2,2,0,0,0,2
74,osprey,0,0,0,1,1,1
75,stork billed kingfisher,0,0,0,2,2,2
76,gray breasted prinia,0,0,0,2,2,2
